PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Age_Fare,Family_Size,Fare_Per_Person,poly_Age,poly_Fare,poly_Age^2,poly_Age Fare,poly_Fare^2,Age_Group,Age_Group_Code
1,0,3,22.0,1,0,7.25,True,False,True,159.5,2,3.625,22.0,7.25,484.0,159.5,52.5625,Young,1
2,1,1,38.0,1,0,71.2833,False,False,False,2708.7653999999998,2,35.64165,38.0,71.2833,1444.0,2708.7653999999998,5081.30885889,Adult,2
3,1,3,26.0,0,0,7.925,False,False,True,206.04999999999998,1,7.925,26.0,7.925,676.0,206.04999999999998,62.805625,Young,1
4,1,1,35.0,1,0,53.1,False,False,True,1858.5,2,26.55,35.0,53.1,1225.0,1858.5,2819.61,Young,1
5,0,3,35.0,0,0,8.05,True,False,True,281.75,1,8.05,35.0,8.05,1225.0,281.75,64.80250000000001,Young,1
6,0,3,28.0,0,0,8.4583,True,True,False,236.83239999999998,1,8.4583,28.0,8.4583,784.0,236.83239999999998,71.54283888999998,Young,1
7,0,1,54.0,0,0,51.8625,True,False,True,2800.575,1,51.8625,54.0,51.8625,2916.0,2800.575,2689.7189062499997,Adult,2
8,0,3,2.0,3,1,21.075,True,False,True,42.15,5,4.215,2.0,21.075,4.0,42.15,444.155625,Teen,0
9,1,3,27.0,0,2,11.1333,False,False,True,300.5991,3,3.7111,27.0,11.1333,729.0,300.5991,123.95036889000001,Young,1
10,1,2,14.0,1,0,30.0708,False,False,False,420.9912,2,15.0354,14.0,30.0708,196.0,420.9912,904.25301264,Teen,0
11,1,3,4.0,1,1,16.7,False,False,True,66.8,3,5.566666666666666,4.0,16.7,16.0,66.8,278.89,Teen,0
12,1,1,58.0,0,0,26.55,False,False,True,1539.9,1,26.55,58.0,26.55,3364.0,1539.9,704.9025,Adult,2
13,0,3,20.0,0,0,8.05,True,False,True,161.0,1,8.05,20.0,8.05,400.0,161.0,64.80250000000001,Young,1
14,0,3,39.0,1,5,31.275,True,False,True,1219.725,7,4.4678571428571425,39.0,31.275,1521.0,1219.725,978.1256249999999,Adult,2
15,0,3,14.0,0,0,7.8542,False,False,True,109.9588,1,7.8542,14.0,7.8542,196.0,109.9588,61.688457639999996,Teen,0
